link_id	mass_base	mass_prev	mass_new	boost	tier_prev	tier_new	top_contributor_link_id
0dc1abc8-9aa8-418f-8b67-f4226893b976	0.683	0.683	1.593	0.910	link	link	019cb20c-aae2-4848-ac64-5ae94ec41df3
019cb20c-aae2-4848-ac64-5ae94ec41df3	0.657	0.657	1.256	0.600	link	link	0dc1abc8-9aa8-418f-8b67-f4226893b976
559811d7-c6e4-4390-9aef-856d4e7eede7	0.596	0.596	0.596	0.000	link	link	
d4026618-d785-4797-ba4b-f5348b35a9ac	0.768	0.768	3.682	2.914	link	link	342aad81-bb41-4643-9859-e8c221826d32
82896759-e99b-491a-980f-a35aabeeafe6	0.878	0.878	5.928	5.051	link	link	342aad81-bb41-4643-9859-e8c221826d32
33d26595-933d-4fea-8783-66e9f787a6f8	0.858	0.858	4.287	3.429	link	link	342aad81-bb41-4643-9859-e8c221826d32
2fa402e6-936e-46d7-8d21-eb117a77c395	0.931	0.931	5.810	4.879	link	link	342aad81-bb41-4643-9859-e8c221826d32
81a0ba3d-6a0c-44d4-b733-fa4baf7499bc	1.768	1.768	6.815	5.047	link	link	342aad81-bb41-4643-9859-e8c221826d32
808d34d4-3c48-4347-a1f5-886c8d8c0101	1.014	1.014	7.081	6.067	link	link	81a0ba3d-6a0c-44d4-b733-fa4baf7499bc
fb6def1e-867f-4813-aeda-5911ac058efd	0.959	0.959	6.453	5.494	link	link	81a0ba3d-6a0c-44d4-b733-fa4baf7499bc
